provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
010001,2020-10-01,2021-09-30,2024-02-29,2024-02-27,v2010,326,1882302189,398171158,1484131031,421843017,175943782,85271930,703148264,17818,4725,2829,74195549,110242,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,SOUTHEAST HEALTH MEDICAL CENTER,NA,0.182322,52571617,70934945,196297449,NA,NA,NA,NA,NA,-401755242,NA,140334877,81662871,NA,NA,NA,NA,177100,739784,84394480,204,35491383,NA,2021,unique reports
010005,2020-10-01,2021-09-30,2024-06-24,2024-06-19,v2010,192,504631562,178795169,325836393,178408643,18758523,6580413,103493557,6834,1903,1409,22628153,39752,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,MARSHALL MEDICAL CENTERS SOUTH,NA,0.267074,15423671,59749462,92830287,NA,-111730888,NA,NA,NA,-111730888,NA,172838513,52662499,NA,NA,NA,NA,-33258,17723,23430971,NA,23976381,NA,2021,unique reports
010006,2020-07-01,2021-06-30,2021-12-09,2021-12-08,v2010,223,994970357,194620314,800350043,177719930,51795405,39854512,463976959,11870,3851,1165,50359793,79802,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,NORTH ALABAMA MEDICAL CENTER,NA,0.148207,4864775,-1624103,241760588,-349623,-15047953,-480978,-1884339,NA,-30505111,-46117,32446541,12827510,NA,NA,NA,NA,-155814,343026,35995354,208106,23185935,NA,2021,unique reports
010007,2020-10-01,2021-09-30,2024-12-18,2024-12-17,v2010,45,64103090,20650459,43452631,23469036,2646829,1270650,17830329,1213,487,121,4655836,3068,702 MAIN STREET,OPP,AL,36462-,COVINGTON,MIZELL MEMORIAL HOSPITAL,NA,0.354654,2149913,3781795,8164824,-66429,-8878607,NA,-1306340,NA,-2887370,NA,8488685,4018626,NA,NA,NA,NA,-29738,32712,978082,NA,3280550,NA,2021,unique reports
010008,2021-01-01,2021-12-31,2024-12-20,2024-12-18,v2010,29,37389762,9828259,27561503,15011013,3166163,NA,4742219,353,152,34,1198433,NA,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,CRENSHAW,CRENSHAW COMMUNITY HOSPITAL,NA,0.37543,NA,-1284085,18134,NA,NA,NA,NA,NA,-109503,NA,25834867,1429909,NA,NA,NA,NA,NA,NA,63437,NA,3055465,NA,2021,unique reports
010011,2020-07-01,2021-06-30,2021-12-01,2021-11-30,v2010,241,1323876392,240238326,1083638066,242992630,94673000,129264323,456273083,12783,2493,1466,38967436,59433,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235-,JEFFERSON,ST. VINCENTS EAST,NA,0.166358,13592395,45866,77949426,-2436454,-37203771,-1890183,-395754,-5161,-51492174,-4768481,32352723,100186520,NA,NA,NA,NA,-165792,198402,105602014,NA,15355312,NA,2021,unique reports
010012,2020-04-01,2021-03-31,2021-09-29,2021-09-27,v2010,97,447094193,49486534,397607659,53691637,13753353,8597255,151679758,2761,717,678,7484328,7186,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35967,DEKALB,DEKALB REGIONAL MEDICAL CENTER,NA,0.110323,1432711,-651388,15962535,-55447,-411663,-9643,-116797,-255,-467110,-120473,6316071,23249183,NA,NA,NA,NA,10471,32656,10151412,NA,18150893,NA,2021,unique reports
010016,2021-01-01,2021-12-31,2025-02-10,2025-02-04,v2010,212,1515339439,170697661,1344641778,165331696,121540039,54622442,643953765,7949,1759,769,25109732,21793,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,SHELBY BAPTIST MEDICAL CENTER,NA,0.099824,69977432,1378316,69148708,-491762,-2721650,NA,-147780,-14173,-17418838,NA,42370592,41162804,NA,NA,NA,NA,25403,53960,94603169,NA,11666866,NA,2021,unique reports
010018,2020-10-01,2021-09-30,2023-11-10,2023-11-09,v2010,6,275482279,85078184,190404095,83887858,299082,NA,3442441,148,31,12,393447,28008,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL,35233-,JEFFERSON,CALLAHAN EYE FOUNDATION HOSP,NA,0.224118,5365684,17178444,42476549,NA,NA,NA,NA,NA,-77011802,NA,42331243,14962608,NA,NA,NA,NA,NA,NA,5754181,NA,4394723,NA,2021,unique reports
010019,2020-10-01,2021-09-30,2024-07-30,2024-07-25,v2010,172,529315936,104996764,424319172,113406002,26085406,7581890,161919774,6973,2049,1940,20791530,15950,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660-,COLBERT,HELEN KELLER HOSPITAL,NA,0.195567,863485,935784,41592590,-1284712,-56808741,NA,NA,NA,-69662305,NA,21959272,24871881,NA,NA,NA,NA,14112,278925,6425675,NA,25160234,NA,2021,unique reports
